nome;cd_uf;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
Assembleia Legislativa do Acre;12;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Acre
Assembleia Legislativa de Alagoas;27;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Alagoas
Assembleia Legislativa do Amapá;16;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Amapá
Assembleia Legislativa do Amazonas;13;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L da Amazonas
Assembleia Legislativa da Bahia;29;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L da Bahia
Assembleia Legislativa do Ceará;23;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Ceará
Assembleia Legislativa do Espírito Santo;32;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Espírito Santo
Assembleia Legislativa de Goiás;52;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Goiás
Assembleia Legislativa do Maranhão;21;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Maranhão
Assembleia Legislativa de Mato Grosso;51;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Mato Grosso
Assembleia Legislativa de Mato Grosso do Sul;50;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Mato Grosso do Sul
Assembleia Legislativa de Minas Gerais;31;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Minas Gerais
Assembleia Legislativa do Pará;15;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Pará
Assembleia Legislativa da Paraíba;25;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L da Paraíba
Assembleia Legislativa do Paraná;41;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Paraná
Assembleia Legislativa de Pernambuco;26;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Pernambuco
Assembleia Legislativa do Piauí;22;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Piauí
Assembleia Legislativa do Rio de Janeiro;33;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Rio de Janeiro
Assembleia Legislativa do Rio Grande do Norte;24;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Rio Grande do Norte
Assembleia Legislativa do Rio Grande do Sul;43;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Rio Grande do Sul
Assembleia Legislativa de Rondônia;11;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Rondônia
Assembleia Legislativa de Roraima;14;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Roraima
Assembleia Legislativa de Santa Catarina;42;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Santa Catarina
Assembleia Legislativa de São Paulo;35;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de São Paulo
Assembleia Legislativa de Sergipe;28;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L de Sergipe
Assembleia Legislativa do Tocantins;17;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;A.L do Tocantins
Câmara Legislativa do Distrito Federal;53;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.L do Destrito Federal
