cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1100015;Alta Floresta D'Oeste;Câmara Municipal de Alta Floresta D'Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Alta Floresta D'Oeste
1100379;Alto Alegre dos Parecis;Câmara Municipal de Alto Alegre dos Parecis;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Alto Alegre dos Parecis
1100403;Alto Paraíso;Câmara Municipal de Alto Paraíso;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Alto Paraíso
1100346;Alvorada D'Oeste;Câmara Municipal de Alvorada D'Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Alvorada D'Oeste
1100023;Ariquemes;Câmara Municipal de Ariquemes;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Ariquemes
1100452;Buritis;Câmara Municipal de Buritis;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Buritis
1100031;Cabixi;Câmara Municipal de Cabixi;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Cabixi
1100601;Cacaulândia;Câmara Municipal de Cacaulândia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Cacaulândia
1100049;Cacoal;Câmara Municipal de Cacoal;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Cacoal
1100700;Campo Novo de Rondônia;Câmara Municipal de Campo Novo de Rondônia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Campo Novo de Rondônia
1100809;Candeias do Jamari;Câmara Municipal de Candeias do Jamari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Candeias do Jamari
1100908;Castanheiras;Câmara Municipal de Castanheiras;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Castanheiras
1100056;Cerejeiras;Câmara Municipal de Cerejeiras;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Cerejeiras
1100924;Chupinguaia;Câmara Municipal de Chupinguaia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Chupinguaia
1100064;Colorado do Oeste;Câmara Municipal de Colorado do Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Colorado do Oeste
1100072;Corumbiara;Câmara Municipal de Corumbiara;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Corumbiara
1100080;Costa Marques;Câmara Municipal de Costa Marques;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Costa Marques
1100940;Cujubim;Câmara Municipal de Cujubim;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Cujubim
1100098;Espigão D'Oeste;Câmara Municipal de Espigão D'Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Espigão D'Oeste
