cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1100015;Alta Floresta D'Oeste;Prefeitura de Alta Floresta D'Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Alta Floresta D'Oeste
1100379;Alto Alegre dos Parecis;Prefeitura de Alto Alegre dos Parecis;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Alto Alegre dos Parecis
1100403;Alto Paraíso;Prefeitura de Alto Paraíso;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Alto Paraíso
1100346;Alvorada D'Oeste;Prefeitura de Alvorada D'Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Alvorada D'Oeste
1100023;Ariquemes;Prefeitura de Ariquemes;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Ariquemes
1100452;Buritis;Prefeitura de Buritis;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Buritis
1100031;Cabixi;Prefeitura de Cabixi;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Cabixi
1100601;Cacaulândia;Prefeitura de Cacaulândia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Cacaulândia
1100049;Cacoal;Prefeitura de Cacoal;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Cacoal
1100700;Campo Novo de Rondônia;Prefeitura de Campo Novo de Rondônia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Campo Novo de Rondônia
1100809;Candeias do Jamari;Prefeitura de Candeias do Jamari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Candeias do Jamari
